Rise of the TMNT Episode Guide,,,,
Key,,,,
*,Filler,,,
A,April,,,
S,Splinter,,,
V,Villain,,,
,,,,
Number,Season,Episode,Name,Reason
1,1,2a,Origami Tsunami,V
2,1,2b, Donnie's Gifts,V
3,1,3a, Newsworthy,V
4,1,3a,War and Pizza,A V
5,1,4a,Repo Mantis,V
6,1,8b, Hypno! Part Deux!,A
7,1,6b,Minotaur Maze,
8,1,11a,The Purple Jacket,A V
9,1,5b,Mascot Melee,* S
10,1,11b,Pizza Pit,*
11,1,5a,The Fast and the Furriest,S A
12,1,6a,Shell in a Cell,*
13,1,4b,Down with the Sickness,* S
14,1,9a,The Gumbus,A V
15,1,9b,Mrs. Cuddles,* A S
16,1,10b,Al Be Back,S
17,1,8a,The Longest Fight,V S
18,1,10a,Stuck on You,
19,1,7-,Bug Busters,V
,,,,
,Please Add S2,,,
